Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
ANTIOQUIA,ABEJORRAL,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio Empresa Departamento y Municipio,42066.94,48366.18,54937.63,34258.81,0,ND,46408.98,176833.3,104117.87,99035.23,131620.74,112882.92
ANTIOQUIA,ABEJORRAL,ENERTOTAL S.A. E.S.P.,factura promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,2450354,ND,ND,2450354
ANTIOQUIA,ABRIAQUI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio Empresa Departamento y Municipio,5351.94,17492.61,27988.83,0,ND,ND,15127.24,1315828.25,97648.82,78889,136363.86,188347.88
ANTIOQUIA,ALEJANDRIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio Empresa Departamento y Municipio,26594.81,39485.53,57339.16,3231.13,ND,ND,38509.84,278831.3,124544.64,76374.11,113501.61,122070.6
ANTIOQUIA,AMAGA,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,factura promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,33566048,ND,ND,ND,33566048
ANTIOQUIA,AMAGA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio Empresa Departamento y Municipio,56621.39,60371.06,65376.43,78877.41,54575.26,124467.21,59808.96,7583125.14,194032.04,265997.32,93508.11,959675.74
ANTIOQUIA,AMAGA,ENEL COLOMBIA S.A. E.S.P.,factura promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,35073277,ND,ND,ND,35073277
ANTIOQUIA,AMAGA,ENERCO S.A. E.S.P.,factura promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,0
ANTIOQUIA,AMAGA,VATIA S.A. E.S.P.,factura promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,24604069.5,ND,ND,ND,24604069.5
ANTIOQUIA,AMALFI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio Empresa Departamento y Municipio,45107.25,45287.7,56476.81,64848,92252.83,48414.83,48251.86,1148323.08,138296.09,217714.11,185575.22,205855.5
ANTIOQUIA,ANDES,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio Empresa Departamento y Municipio,50643.92,54429.64,70076.59,164280.3,151162.5,ND,56513.49,527983.74,189481.08,294856.68,123636.25,223780.72
ANTIOQUIA,ANDES,ENERCO S.A. E.S.P.,factura promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,10080559,ND,ND,10080559
ANTIOQUIA,ANDES,SPECTRUM RENOVAVEIS SAS ESP,factura promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,5251654,ND,ND,5251654
ANTIOQUIA,ANDES,VATIA S.A. E.S.P.,factura promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,1133682,ND,ND,ND,1133682
ANTIOQUIA,ANGELOPOLIS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio Empresa Departamento y Municipio,46610.86,52585.28,57394.21,104112,58640,ND,51363.7,2311149.68,327255.1,76088.62,88181.78,668945.12
ANTIOQUIA,ANGOSTURA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio Empresa Departamento y Municipio,42165.7,66864.69,75729.39,50731.91,ND,ND,54054.12,291797.42,119142.9,114442.76,115809.64,143584.98
ANTIOQUIA,ANORI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio Empresa Departamento y Municipio,33253.14,38347.18,40618.28,53664,ND,ND,36500.17,925269.56,130871.43,110847.38,120270.98,175313.22
ANTIOQUIA,ANZA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio Empresa Departamento y Municipio,35211.48,41162.23,59636.67,106856.12,359706,ND,40175.66,399408.33,137294.95,141645.09,119143.69,146096.94
ANTIOQUIA,APARTADO,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,49409723,ND,ND,49409723
ANTIOQUIA,APARTADO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio Empresa Departamento y Municipio,75936.43,94459.12,106484.42,128240.25,1348390,0,88988.94,2408522.15,440140.97,1004764.81,173063.32,507584.53
